model,layer,head,delta_half_a,delta_half_b,delta_pooled,cos_self,cos_null,excess
gpt2,9,5,0.009947384105009505,0.015026316923253624,0.012486850514131564,0.6178607798305942,0.357564647777325,0.2602961320532692
gpt2,9,6,-0.0007499246036299922,-0.0006579230813419379,-0.0007039238424859651,0.21151048875565087,0.17707783154592338,0.03443265720972749
gpt2,9,7,0.0020612828871779953,0.00432586669921875,0.0031935747931983727,0.40861646865605095,0.32591035131795065,0.0827061173381003
gpt2,9,8,0.0052104276769302516,0.002135332892922559,0.0036728802849264053,0.34906522182176714,0.3116974151896193,0.03736780663214784
gpt2,9,9,-0.0018534940831802516,0.0006363812614886832,-0.0006085564108457842,0.3246112151929845,0.29346571212833616,0.03114550306464836
gpt2,9,10,-0.0006072100471046227,0.0015604355755973742,0.0004766127642463758,0.5045636931577675,0.20489190797894583,0.29967178517882165
gpt2,9,11,0.0008585312787223742,0.002211626838235059,0.0015350790584787166,0.36850340685975963,0.3668702934796115,0.0016331133801481545
gpt2,10,0,0.0036894854377296227,6.911333869474845e-05,0.0018792993882121856,0.3628983719793285,0.29464291088183336,0.06825546109749514
gpt2,10,1,0.003319684196920747,-0.0006229176240810652,0.0013483832864198408,0.4747525883072633,0.47261585731268285,0.002136730994580449
gpt2,10,2,0.002917121438419379,0.0014163746553306211,0.002166748046875,0.3518170804675065,0.34196319130578323,0.00985388916172325
gpt2,10,3,-9.873334098742248e-06,-1.6605152803439438e-05,-1.3239243451090843e-05,0.4587167338570252,0.44160027186835044,0.01711646198867478
gpt2,10,4,0.0021932265337776258,0.0016416661879592453,0.0019174463608684356,0.49842673663854786,0.41170201036477333,0.08672472627377453
gpt2,10,5,0.009502635282628624,0.0068422205307903106,0.008172427906709467,0.5405400202761993,0.3162320924015211,0.22430792787467818
gpt2,10,6,0.0026707368738509984,0.0005174524643840606,0.0015940946691175295,0.40423432527333436,0.3903814603520325,0.013852864921301833
gpt2,10,7,5.879121668250775e-05,0.0012220494887404953,0.0006404203527115016,0.4220697160153661,0.32509177297503095,0.09697794304033514
gpt2,10,8,0.004973467658548003,0.007587208467371376,0.0062803380629596894,0.3182235188933877,0.2673015771885654,0.05092194170482228
gpt2,10,9,0.003588508157169379,0.002379473517922559,0.002983990837545969,0.6209213706190239,0.30806271565825477,0.3128586549607691
gpt2,10,10,0.0008212818818931211,-0.0002782485064338758,0.0002715166877296227,0.3065876486502194,0.3266549479973766,-0.020067299347157175
gpt2,10,11,0.0006458058076743711,0.002111547133501812,0.0013786764705880916,0.5862054173697769,0.3581388639401444,0.22806655342963256
gpt2,11,0,0.02590673110064312,0.028690113740808876,0.027298422420726,0.7039717607417783,0.645948215859863,0.0580235448819153
gpt2,11,1,0.001031763413373632,0.0023332483628215606,0.0016825058880975963,0.5069531959873685,0.4346082015160896,0.07234499447127896
gpt2,11,2,0.0018584307502296227,-0.0011722340303310652,0.00034309835994927873,0.4434782813985708,0.426930175837095,0.01654810556147579
gpt2,11,3,0.009611241957721006,0.012615428251378624,0.011113335104549815,0.7377891766302666,0.5556053220609823,0.1821838545692842
gpt2,11,4,0.00467143339269338,0.0005901561063876848,0.0026307947495405326,0.4399496954062857,0.422356193539111,0.017593501867174677
gpt2,11,5,-0.00015303667853849845,-0.0035894057329963758,-0.0018712212057674371,0.45959038065370805,0.4081769841271573,0.05141339652655075
gpt2,11,6,0.0011412676642921227,0.005175871007582433,0.003158569335937278,0.42303824728328304,0.3986792123205581,0.024359034962724957
gpt2,11,7,-0.0005668191348799922,-0.0010999791762409394,-0.0008333991555604658,0.48074435766671497,0.40472275430446514,0.07602160336224983
gpt2,11,8,0.027693804572610503,0.026706919950597374,0.02720036226160394,0.7747769285967533,0.5921290808613883,0.18264784773536502
gpt2,11,9,-0.001638524672563868,-0.0015025419347427516,-0.0015705333036533098,0.39620399537045614,0.38448841397725697,0.01171558139319917
gpt2,11,10,-0.0027883193072151258,0.004283231847426183,0.0007474562701055287,0.4299356611431051,0.23889923190710127,0.19103642923600384
gpt2,11,11,0.00045731488396150155,-0.003996007582720562,-0.0017693463493795303,0.5109340331897991,0.3368683772782744,0.17406565591152473
EleutherAI/pythia-160m,0,0,0.013615327722885873,-0.0136871337890625,-3.590303308831366e-05,0.36802303925359375,0.08056867361972225,0.2874543656338715
EleutherAI/pythia-160m,0,1,0.030216441434972374,0.0009321324965529953,0.015574286965762685,0.43549836844680684,0.178248568829852,0.2572497996169548
EleutherAI/pythia-160m,0,2,0.02401015337775725,0.0220341401941635,0.023022146785960373,0.3656355614742637,0.17215825766932707,0.1934773038049366
EleutherAI/pythia-160m,0,3,0.02422332763671875,0.004444346708409874,0.014333837172564312,0.48239893858588506,0.13819049130925495,0.34420844727663014
EleutherAI/pythia-160m,0,4,-0.010514652027803884,-0.03959341610179301,-0.025054034064798447,0.4090357676809828,0.15975718593413624,0.24927858174684658
EleutherAI/pythia-160m,0,5,-0.03051443660960551,-0.00635528564453125,-0.01843486112706838,0.3842950962952089,0.19764689606102756,0.18664820023418136
EleutherAI/pythia-160m,0,6,-0.0033623190487137578,-0.00011803122127762578,-0.0017401751349956918,0.45830832816234507,0.24744288362263442,0.21086544453971065
EleutherAI/pythia-160m,0,7,0.031076319077435244,0.007328257841222374,0.01920228845932881,0.6711646766465766,0.10026954993648379,0.5708951267100928
EleutherAI/pythia-160m,0,8,0.033453997443703365,0.021359163172104623,0.027406580307903994,0.4666098127530134,0.09948067014682994,0.36712914260618346
EleutherAI/pythia-160m,0,9,0.02084844252642437,0.02097634708180074,0.020912394804112555,0.45841833642301777,0.13239868238100339,0.3260196540420144
EleutherAI/pythia-160m,0,10,-0.0041961669921875,-0.009452371036305252,-0.006824269014246376,0.4676513763396223,0.15535987111102734,0.31229150522859495
EleutherAI/pythia-160m,0,11,0.007593491498161242,0.00791437485638724,0.0077539331772742415,0.31064721320507427,0.17355456391514346,0.1370926492899308
EleutherAI/pythia-160m,1,0,0.030346141142003624,0.01054157930261912,0.020443860222311372,0.36436987616083044,0.09398509109253961,0.27038478506829083
EleutherAI/pythia-160m,1,1,0.03950949276194837,0.014660554773667123,0.027085023767807748,0.32000733676901033,0.10580270740610169,0.21420462936290863
EleutherAI/pythia-160m,1,2,0.07691820930032112,0.019247616038602366,0.04808291266946174,0.4019661168016378,0.11616489511391806,0.2858012216877197
EleutherAI/pythia-160m,1,3,0.0017547607421875,-0.007689532111673003,-0.0029673856847427516,0.5292147157470495,0.1781201091138493,0.3510946066332002
EleutherAI/pythia-160m,1,4,-0.044119442210478255,-0.03414064295151675,-0.039130042580997504,0.30962633643933285,0.24390002176022177,0.06572631467911108
EleutherAI/pythia-160m,1,5,0.021933162913602366,-0.0016757740693940093,0.010128694422104179,0.3597552134340364,0.21494566963446549,0.1448095437995709
EleutherAI/pythia-160m,1,6,0.010939205394071116,0.005243189194622744,0.00809119729434693,0.6612221990657323,0.21028437109609682,0.4509378279696355
EleutherAI/pythia-160m,1,7,0.02246587416704937,0.009622910443473742,0.016044392305261557,0.5392178740391855,0.12274766294645482,0.4164702110927307
EleutherAI/pythia-160m,1,8,0.03318113439223325,0.019800522748161242,0.026490828570197245,0.3780622592530128,0.2144191894969498,0.163643069756063
EleutherAI/pythia-160m,1,9,0.014092838062959245,0.006388047162223742,0.010240442612591494,0.39105868463582344,0.17238936424405105,0.2186693203917724
EleutherAI/pythia-160m,1,10,0.061347063849953365,0.010046117446001368,0.035696590647977366,0.5195782906540385,0.1817302646255511,0.3378480260284874
EleutherAI/pythia-160m,1,11,0.05150424732881387,0.0217742919921875,0.036639269660500684,0.4415442113068714,0.16295569713911984,0.27858851416775154
EleutherAI/pythia-160m,2,0,0.04138991411994475,-0.01399679744944926,0.013696558335247744,0.40031249162877114,0.1374049460287732,0.26290754559999796
EleutherAI/pythia-160m,2,1,0.018251306870403994,0.0039583093979773665,0.01110480813419068,0.3802838672580168,0.10416652078802169,0.2761173464699951
EleutherAI/pythia-160m,2,2,0.002022687126608247,0.00434651094324412,0.0031845990349261832,0.42815004466670814,0.16234692394640274,0.26580312072030543
EleutherAI/pythia-160m,2,3,0.00945551255169974,0.00455474853515625,0.007005130543427995,0.44701528994598677,0.1892875933971342,0.2577276965488526
EleutherAI/pythia-160m,2,4,0.018382801729090126,0.01558460908777537,0.016983705408432748,0.5787181565281952,0.20074501073022374,0.3779731457979715
EleutherAI/pythia-160m,2,5,0.012961443732765865,-0.009055193732766753,0.001953124999999556,0.3475554379222371,0.13895906472529915,0.20859637319693794
