run_id,experiment,arm,seed,size,status,duration_s,note,git_sha,final_val_loss,final_val_ppl,loss_at_step0,tokens_seen,steps,wall_seconds,tokens_per_sec,learned_alpha,n_params,n_params_non_embedding,device,history
97175e03c448,factorial,random,31337,S,completed,2497.0704810619354,,279351804c5b2bf2f83411c775b15ba9e409c931,3.803470317457543,44.85658127635037,10.936104774475098,399900672,3051,2496.1215188503265,160208.81554844647,"{""layer_0"":[0.2157198041677475,0.21267062425613403,0.22858110070228577,0.23139911890029907,0.18824847042560577,0.16508738696575165,0.14478076994419098,0.19627413153648376],""layer_1"":[0.10063989460468292,0.032229986041784286,0.12484961003065109,0.09654830396175385,0.029694538563489914,0.06320536136627197,0.06101347133517265,0.03371793031692505],""layer_2"":[-0.00578154856339097,0.07131377607584,0.0510186031460762,0.06921686232089996,0.019055096432566643,0.046123772859573364,0.08794745802879333,0.0512067973613739],""layer_3"":[0.07600104808807373,0.02212149277329445,0.03401835262775421,0.012851354666054249,0.022838184610009193,0.04092801362276077,0.0399211123585701,-0.01863226294517517],""layer_4"":[-0.01250721700489521,0.007412840612232685,-0.018391460180282593,0.047152165323495865,0.03437046706676483,-0.009777189232409,-0.0052205524407327175,0.03075641393661499],""layer_5"":[0.02307107113301754,8.033312042243779e-05,-0.012972392141819,-0.04799932241439819,0.03833501413464546,-0.1319618821144104,-0.004830665420740843,-0.041140057146549225],""layer_6"":[-0.023603808134794235,-0.05478348582983017,-0.20247283577919006,-0.13564127683639526,-0.05169407278299332,-0.048970334231853485,0.006802333984524012,-0.012086090631783009],""layer_7"":[-0.05131915211677551,-0.030979499220848083,-0.12037523090839386,-0.000418814190197736,-0.16506142914295197,-0.05227592587471008,-0.05812230333685875,-0.04344228282570839]}",50930240,25165824,cuda,[]
9cea75ca9fac,factorial,xsa,99,S,completed,2640.6054453849792,,279351804c5b2bf2f83411c775b15ba9e409c931,3.794433479426337,44.45304570572335,10.936638832092285,399900672,3051,2639.7025694847107,151494.59511950376,"{""layer_0"":[0.4263465106487274,0.2807735204696655,0.19317211210727692,0.27163052558898926,0.6163824796676636,0.5716680288314819,0.6608416438102722,0.6240413188934326],""layer_1"":[0.29819026589393616,0.21276283264160156,0.149443119764328,0.11633171141147614,0.44984158873558044,0.15305551886558533,0.14079459011554718,0.41624611616134644],""layer_2"":[-0.05386759340763092,0.36914581060409546,0.024411708116531372,0.10630302131175995,0.2416425347328186,0.3115100562572479,0.26077672839164734,0.03357774391770363],""layer_3"":[0.08381586521863937,0.2625310719013214,0.29849973320961,0.09008452296257019,0.2169928401708603,0.2434132993221283,-0.0971163660287857,0.29745355248451233],""layer_4"":[0.0594979003071785,0.31103819608688354,0.3905445337295532,0.25581231713294983,0.137348011136055,0.28086817264556885,0.18819594383239746,-0.08581406623125076],""layer_5"":[0.580456018447876,0.4753301441669464,0.4254003167152405,0.20295822620391846,0.18275310099124908,0.29376697540283203,0.33825522661209106,0.4852669835090637],""layer_6"":[0.22096632421016693,0.28415340185165405,0.22524689137935638,0.32666143774986267,0.34434953331947327,0.24411149322986603,0.18878903985023499,0.3743566572666168],""layer_7"":[0.42223143577575684,0.26538217067718506,0.39223310351371765,0.4456982910633087,0.43531176447868347,0.5046929717063904,0.4211162030696869,-0.011668450199067593]}",50930240,25165824,cuda,[]
9ec32dd7d3f8,factorial,random,512,S,completed,2499.867605447769,,279351804c5b2bf2f83411c775b15ba9e409c931,3.794453258885712,44.45392497163065,10.90080213546753,399900672,3051,2498.9970347881317,160024.46838993713,"{""layer_0"":[0.24476011097431183,0.17982229590415955,0.28358498215675354,0.24932602047920227,0.25914835929870605,0.2755182385444641,0.2753099203109741,0.12546184659004211],""layer_1"":[0.037143539637327194,0.03392711654305458,0.07266075909137726,0.017489563673734665,0.035207901149988174,0.08174657076597214,0.07646869868040085,-0.03202340006828308],""layer_2"":[0.08443652093410492,0.07325474172830582,0.047673299908638,0.08928871899843216,0.05731732398271561,0.03517239913344383,0.08269204199314117,0.0873885378241539],""layer_3"":[0.06425151228904724,0.03935379534959793,0.03800499811768532,0.036423638463020325,0.025914836674928665,0.06158686801791191,0.01734086498618126,0.061817701905965805],""layer_4"":[0.034592390060424805,0.026941001415252686,-0.001652162871323526,-0.011021895334124565,0.01915389485657215,-0.011365370824933052,0.0008526688325218856,-0.009550412185490131],""layer_5"":[-0.08276466280221939,-0.016029438003897667,-0.04131860285997391,0.029336953535676003,0.018315786495804787,-0.0747424066066742,-0.15976303815841675,-0.025689929723739624],""layer_6"":[0.008460325188934803,-0.057589903473854065,-0.040169455111026764,-0.22346735000610352,0.001979168737307191,-0.03889690712094307,-0.03088592365384102,-0.26626673340797424],""layer_7"":[-0.011615990661084652,-0.042710769921541214,-0.04556437209248543,-0.1841050386428833,-0.021054159849882126,-0.04508752003312111,-0.05963277444243431,-0.006420537829399109]}",50930240,25165824,cuda,[]
a413957ec0ba,factorial,random,2024,S,completed,2482.24649977684,,279351804c5b2bf2f83411c775b15ba9e409c931,3.8050728196003396,44.928521670887136,10.90854024887085,399900672,3051,2481.350006341934,161162.54094662896,"{""layer_0"":[0.2839098572731018,0.1443713903427124,0.2901563048362732,0.21082241833209991,0.22040927410125732,0.24156351387500763,0.18117032945156097,0.24807660281658173],""layer_1"":[0.06025749072432518,0.0881243571639061,0.07717480510473251,0.031177476048469543,0.07054710388183594,0.032959915697574615,0.06996510922908783,0.01279323548078537],""layer_2"":[0.016229376196861267,0.039386507123708725,0.05530141666531563,0.0433838851749897,0.03519309684634209,0.06643561273813248,0.0018599097384139895,0.09564657509326935],""layer_3"":[0.04435954988002777,0.05493156984448433,-0.03263935074210167,-0.020066438242793083,0.04279026389122009,0.041557230055332184,0.04808495193719864,0.029409755021333694],""layer_4"":[0.041634734719991684,0.04923120513558388,0.02663007378578186,-0.054193414747714996,0.017039360478520393,0.048795778304338455,0.023643868044018745,0.024803832173347473],""layer_5"":[-0.11622031778097153,-0.004315540660172701,-0.010450972244143486,0.005389414727687836,-0.0016899449983611703,-0.02128487639129162,-0.024469122290611267,-0.009862804785370827],""layer_6"":[-0.0335007980465889,-0.2075328230857849,-0.03127824142575264,-0.027477538213133812,0.018073171377182007,-0.055727798491716385,-0.013811745680868626,-0.02157064899802208],""layer_7"":[-0.1935790330171585,-0.14522980153560638,-0.025374164804816246,-0.057441700249910355,-0.010717891156673431,-0.0020375160966068506,0.005409411620348692,-0.03593367710709572]}",50930240,25165824,cuda,[]
aa53bef6b343,factorial,random,8191,S,completed,2506.339514017105,,279351804c5b2bf2f83411c775b15ba9e409c931,3.79915883111172,44.66359905770152,10.936646461486816,399900672,3051,2505.391041994095,159616.0700254242,"{""layer_0"":[0.2521574795246124,0.122641921043396,0.23064512014389038,0.19036449491977692,0.250558078289032,0.24483215808868408,0.1398201733827591,0.1998785138130188],""layer_1"":[0.08677931129932404,0.1117599606513977,0.09436257928609848,0.06364686787128448,0.10788654536008835,0.11216294765472412,-0.028371086344122887,0.10545950382947922],""layer_2"":[0.010150444693863392,0.07091592252254486,0.06480922549962997,0.03562675788998604,0.06218792870640755,0.023232541978359222,0.09535639733076096,0.04287911206483841],""layer_3"":[0.06197473406791687,0.005473244935274124,0.023986071348190308,0.022921163588762283,0.047181226313114166,0.03286696970462799,0.039335787296295166,0.03553268313407898],""layer_4"":[-0.05741829052567482,0.02380567044019699,-0.029981281608343124,-0.06267659366130829,-0.012415963225066662,0.00793665461242199,0.010535148903727531,-0.03126503527164459],""layer_5"":[-0.01838751882314682,0.017675340175628662,0.002456490881741047,0.031410783529281616,0.02956625632941723,0.04612303525209427,-0.009914378635585308,-0.11813628673553467],""layer_6"":[-0.16791675984859467,-0.046290237456560135,-0.003872707486152649,-0.14454951882362366,-0.03439386188983917,-0.07925599813461304,-0.0471888966858387,-0.02999761700630188],""layer_7"":[-0.14280864596366882,-0.019839266315102577,-0.0017599050188437104,-0.20323564112186432,-0.03602178394794464,-0.02930832840502262,-0.006231720559298992,-0.03044929727911949]}",50930240,25165824,cuda,[]
c0ff909b6418,factorial,baseline,1337,S,completed,2700.3882007598877,,279351804c5b2bf2f83411c775b15ba9e409c931,3.7982737534358852,44.624085791987234,10.93050765991211,399900672,3051,2699.4746227264404,148140.1857358839,"{""layer_0"":[],""layer_1"":[],""layer_2"":[],""layer_3"":[],""layer_4"":[],""layer_5"":[],""layer_6"":[],""layer_7"":[]}",50930176,25165824,cuda,[]
cfc4f5ae0102,factorial,xsa,512,S,completed,2638.5053582191467,,279351804c5b2bf2f83411c775b15ba9e409c931,3.7910142980638097,44.30131223029819,10.90080213546753,399900672,3051,2637.611669778824,151614.6886146942,"{""layer_0"":[0.45987555384635925,0.6437596082687378,0.38559773564338684,0.6968597173690796,0.6413155794143677,0.3477422297000885,0.3307558596134186,0.21518969535827637],""layer_1"":[0.17447097599506378,0.3989737927913666,0.3471508026123047,0.43084844946861267,0.32305479049682617,0.10977364331483841,0.3704304099082947,0.3377688527107239],""layer_2"":[0.2571060061454773,0.06797484308481216,0.11282887309789658,0.17208363115787506,-0.06876499205827713,0.2978333532810211,0.14088335633277893,0.029556255787611008],""layer_3"":[0.15660232305526733,0.3692573010921478,0.24265354871749878,-0.05544000864028931,-0.1343306452035904,0.24167615175247192,0.3035880923271179,0.26778048276901245],""layer_4"":[0.1039438396692276,0.18825846910476685,0.24552319943904877,0.3064653277397156,0.11863608658313751,0.10976962000131607,0.23033080995082855,0.3316008448600769],""layer_5"":[0.4890892505645752,0.09508015960454941,0.40328139066696167,0.13287034630775452,0.17284506559371948,0.43901005387306213,0.4944586455821991,0.15573635697364807],""layer_6"":[0.277687132358551,0.4571571350097656,0.38455989956855774,0.523041307926178,0.20720748603343964,0.36803513765335083,0.3357073664665222,0.38958418369293213],""layer_7"":[0.319059818983078,0.4334748387336731,0.3597325384616852,0.44373413920402527,0.23457071185112,0.2223409116268158,0.40733838081359863,0.25304892659187317]}",50930240,25165824,cuda,[]
dc5c7e5dc8ae,factorial,baseline,42,S,completed,3079.5481181144714,,279351804c5b2bf2f83411c775b15ba9e409c931,3.800306389077765,44.7148825463525,10.935888290405273,399900672,3051,3077.910439968109,129926.02604906965,"{""layer_0"":[],""layer_1"":[],""layer_2"":[],""layer_3"":[],""layer_4"":[],""layer_5"":[],""layer_6"":[],""layer_7"":[]}",50930176,25165824,cuda,[]
dd79b6321e60,factorial,xsa,31337,S,completed,2644.051365375519,,279351804c5b2bf2f83411c775b15ba9e409c931,3.7964261750705908,44.54171541280343,10.936104774475098,399900672,3051,2643.1538257598877,151296.78344960927,"{""layer_0"":[0.4310980439186096,0.43494993448257446,0.4303399920463562,0.6122134923934937,0.2843087911605835,0.6258555054664612,0.2889082431793213,0.4590878188610077],""layer_1"":[0.09120670706033707,0.18659226596355438,0.19512704014778137,0.22949884831905365,0.3838348686695099,0.36928224563598633,0.3436242938041687,0.37273305654525757],""layer_2"":[0.25195375084877014,0.12511935830116272,0.15335436165332794,-0.07074226438999176,0.26156091690063477,-0.04355595260858536,0.09147932380437851,0.36815181374549866],""layer_3"":[0.07446285337209702,0.07855992764234543,0.20187844336032867,0.25072523951530457,-0.08780670166015625,0.20826926827430725,-0.134802907705307,0.343258798122406],""layer_4"":[0.22684252262115479,0.25702086091041565,0.2607221305370331,0.3092115819454193,0.15733015537261963,0.2889038324356079,0.1204753965139389,0.10623913258314133],""layer_5"":[0.08147187530994415,0.30185574293136597,0.238996222615242,0.39170190691947937,0.22582677006721497,0.3428952395915985,0.14898614585399628,0.32278895378112793],""layer_6"":[0.39925625920295715,0.4431281089782715,0.45251110196113586,0.4466598927974701,0.27896520495414734,0.2345762401819229,0.1639409363269806,0.3220210373401642],""layer_7"":[0.3733311593532562,0.24791507422924042,0.508518397808075,0.27740874886512756,0.5440011024475098,0.38150039315223694,0.32026901841163635,0.29603010416030884]}",50930240,25165824,cuda,[]
e14ef788a63f,factorial,random,7,S,completed,2494.700889825821,,279351804c5b2bf2f83411c775b15ba9e409c931,3.7964484530394196,44.54270772280426,10.951727390289307,399900672,3051,2493.7470700740814,160361.36013910995,"{""layer_0"":[0.2131805717945099,0.2280326932668686,0.15202641487121582,0.2562119662761688,0.2556237578392029,0.2687789797782898,0.13754622638225555,0.22815226018428802],""layer_1"":[0.04916530102491379,0.10267070680856705,0.09895036369562149,0.07903286814689636,0.03641442209482193,0.021712027490139008,0.06794024258852005,0.03006305918097496],""layer_2"":[0.014521842822432518,0.07339077442884445,0.06150856241583824,0.05088495463132858,0.04438665881752968,-0.0008895641076378524,-0.0020027433056384325,0.06820563971996307],""layer_3"":[0.07855649292469025,0.04622374475002289,0.04237009584903717,0.03680047020316124,0.052034642547369,0.026524262502789497,0.04220720753073692,0.051850829273462296],""layer_4"":[-0.033784572035074234,0.009108882397413254,-0.0038945626001805067,0.009880613535642624,-0.058684416115283966,-0.045074257999658585,0.02036362886428833,-0.03515108302235603],""layer_5"":[-0.03913269191980362,-0.020352372899651527,-0.09270983934402466,-0.047480273991823196,-0.028492579236626625,0.043342407792806625,-0.009720786474645138,-0.1936168372631073],""layer_6"":[0.027288587763905525,-0.00976722314953804,0.017550935968756676,-0.050488609820604324,-0.06321223080158234,-0.012699127197265625,-0.06652126461267471,-0.02562154456973076],""layer_7"":[-0.1499074399471283,-0.0436997190117836,-0.06828451156616211,-0.003265584819018841,-0.05184782296419144,-0.0022130764555186033,-0.10978516191244125,-0.21938757598400116]}",50930240,25165824,cuda,[]
