model,layer,head,cos_self,cos_null,excess,n,kv_group,n_kv_heads,cos_across_group,status,run_id
gpt2,4,8,0.4334969496245154,0.1812052604502491,0.2522916891742663,13781,8,12,nan,completed,7600d12b0536
gpt2,4,9,0.3610695999858864,0.15372476504716065,0.20734483493872574,13781,9,12,nan,completed,7600d12b0536
gpt2,4,10,0.3301302391089425,0.1766338408335127,0.15349639827542982,13781,10,12,nan,completed,7600d12b0536
gpt2,4,11,0.4354865906137548,0.2012081854316107,0.23427840518214407,13781,11,12,nan,completed,7600d12b0536
gpt2,5,0,0.37605674976269554,0.29477484778592766,0.08128190197676788,13781,0,12,nan,completed,7600d12b0536
gpt2,5,1,-0.15915890142745484,-0.1874978154805426,0.02833891405308775,13781,1,12,nan,completed,7600d12b0536
gpt2,5,2,0.4046177316098908,0.2071413129212284,0.1974764186886624,13781,2,12,nan,completed,7600d12b0536
gpt2,5,3,0.4088424535982659,0.23626050384242323,0.17258194975584265,13781,3,12,nan,completed,7600d12b0536
gpt2,5,4,0.2674536679812921,0.08136885653990622,0.1860848114413859,13781,4,12,nan,completed,7600d12b0536
gpt2,5,5,0.43853049402963645,0.3806659135738844,0.057864580455752046,13781,5,12,nan,completed,7600d12b0536
gpt2,5,6,0.34500365803795274,0.2636635875278001,0.08134007051015263,13781,6,12,nan,completed,7600d12b0536
gpt2,5,7,0.35300813228558586,0.22261066970462584,0.13039746258096002,13781,7,12,nan,completed,7600d12b0536
gpt2,5,8,0.12005353251687625,-0.0014734503080601723,0.12152698282493643,13781,8,12,nan,completed,7600d12b0536
gpt2,5,9,0.4195108312946393,0.33211268445013253,0.08739814684450675,13781,9,12,nan,completed,7600d12b0536
gpt2,5,10,0.5366786546067096,0.26801855626381627,0.26866009834289334,13781,10,12,nan,completed,7600d12b0536
gpt2,5,11,0.6793836174773648,0.24465092638228972,0.43473269109507506,13781,11,12,nan,completed,7600d12b0536
gpt2,6,0,0.4757450666384381,0.19045340993267657,0.2852916567057615,13781,0,12,nan,completed,7600d12b0536
gpt2,6,1,0.3171991443757356,0.11627014241148727,0.20092900196424834,13781,1,12,nan,completed,7600d12b0536
gpt2,6,2,0.29445141086573134,0.24552037985935724,0.04893103100637411,13781,2,12,nan,completed,7600d12b0536
gpt2,6,3,0.3906485968449851,0.19315863206631365,0.19748996477867145,13781,3,12,nan,completed,7600d12b0536
gpt2,6,4,0.43446108785786397,0.2800119516743329,0.15444913618353107,13781,4,12,nan,completed,7600d12b0536
gpt2,6,5,0.5706513893150592,0.12603978193894919,0.44461160737611005,13781,5,12,nan,completed,7600d12b0536
gpt2,6,6,0.71112607979565,0.28897941249961073,0.4221466672960393,13781,6,12,nan,completed,7600d12b0536
gpt2,6,7,0.4617396898762569,0.18662419110577758,0.27511549877047936,13781,7,12,nan,completed,7600d12b0536
gpt2,6,8,0.49090806846363033,0.2196199194773826,0.27128814898624776,13781,8,12,nan,completed,7600d12b0536
gpt2,6,9,0.23080386699564415,0.17590975556602878,0.054894111429615366,13781,9,12,nan,completed,7600d12b0536
gpt2,6,10,0.3729447433643586,0.21823341865109439,0.15471132471326424,13781,10,12,nan,completed,7600d12b0536
gpt2,6,11,0.37120958742341664,0.14665115247164498,0.22455843495177166,13781,11,12,nan,completed,7600d12b0536
gpt2,7,0,0.4159668693813312,0.18391539985503239,0.23205146952629882,13781,0,12,nan,completed,7600d12b0536
gpt2,7,1,0.4837939004511433,0.27395872641504543,0.20983517403609786,13781,1,12,nan,completed,7600d12b0536
gpt2,7,2,0.2534906507987245,0.20231034289160468,0.05118030790711983,13781,2,12,nan,completed,7600d12b0536
gpt2,7,3,0.5000348692748032,0.129343257658712,0.3706916116160912,13781,3,12,nan,completed,7600d12b0536
gpt2,7,4,0.44050045822837847,0.23077774037377188,0.20972271785460658,13781,4,12,nan,completed,7600d12b0536
gpt2,7,5,0.47959783772517806,0.2637217953028461,0.21587604242233194,13781,5,12,nan,completed,7600d12b0536
