arm,layer,tanh_alpha
xsa,4,0.23033080995082855
xsa,4,0.3316008448600769
xsa,4,0.22684252262115479
xsa,4,0.25702086091041565
xsa,4,0.2607221305370331
xsa,4,0.3092115819454193
xsa,4,0.15733015537261963
xsa,4,0.2889038324356079
xsa,4,0.1204753965139389
xsa,4,0.10623913258314133
xsa,4,0.1765928864479065
xsa,4,0.2872588336467743
xsa,4,0.19124093651771545
xsa,4,0.23213264346122742
xsa,4,0.11331028491258621
xsa,4,0.23161792755126953
xsa,4,0.2967613935470581
xsa,4,0.4163757562637329
xsa,4,0.25932934880256653
xsa,4,0.12440070509910583
xsa,4,0.11108627915382385
xsa,4,0.1917007565498352
xsa,4,0.29251229763031006
xsa,4,0.38245636224746704
xsa,4,0.1140482947230339
xsa,4,0.48749271035194397
xsa,5,0.4304255247116089
xsa,5,0.32696908712387085
xsa,5,0.14943844079971313
xsa,5,0.21550236642360687
xsa,5,0.24752981960773468
xsa,5,0.3263961672782898
xsa,5,0.3487652838230133
xsa,5,0.3491547405719757
xsa,5,0.3482566177845001
xsa,5,0.23102566599845886
xsa,5,0.12070184201002121
xsa,5,0.27841925621032715
xsa,5,0.17762397229671478
xsa,5,0.5163602828979492
xsa,5,0.4209245443344116
xsa,5,0.18169279396533966
xsa,5,0.40304121375083923
xsa,5,0.43107733130455017
xsa,5,0.19445596635341644
xsa,5,0.3903648555278778
xsa,5,0.33014026284217834
xsa,5,0.2469211220741272
xsa,5,0.18551824986934662
xsa,5,0.29603829979896545
xsa,5,0.580456018447876
xsa,5,0.4753301441669464
xsa,5,0.4254003167152405
xsa,5,0.20295822620391846
xsa,5,0.18275310099124908
xsa,5,0.29376697540283203
xsa,5,0.33825522661209106
xsa,5,0.4852669835090637
xsa,5,0.4890892505645752
xsa,5,0.09508015960454941
xsa,5,0.40328139066696167
xsa,5,0.13287034630775452
xsa,5,0.17284506559371948
xsa,5,0.43901005387306213
xsa,5,0.4944586455821991
xsa,5,0.15573635697364807
xsa,5,0.08147187530994415
xsa,5,0.30185574293136597
xsa,5,0.238996222615242
xsa,5,0.39170190691947937
xsa,5,0.22582677006721497
xsa,5,0.3428952395915985
xsa,5,0.14898614585399628
xsa,5,0.32278895378112793
xsa,5,0.30825790762901306
xsa,5,0.18573476374149323
