model,layer,head,delta_half_a,delta_half_b,delta_pooled,cos_self_half_a,cos_self,cos_self_half_b,cos_null_half_a,cos_null,cos_null_half_b,excess_half_a,excess,excess_half_b
EleutherAI/pythia-410m,6,1,0.0012709249661662092,0.004978690560408339,0.003124807763287274,0.4945930213792762,0.4945930213792762,0.47081828348609545,0.28545797233061426,0.28545797233061426,0.2673029034388095,0.20913504904866193,0.20913504904866193,0.20351538004728592
EleutherAI/pythia-410m,6,2,0.0013843446265995318,0.004026638241264813,0.0027054914339321723,0.053102518598992524,0.053102518598992524,0.048558126014074124,0.056171722328201334,0.056171722328201334,0.0459288623630396,-0.003069203729208811,-0.003069203729208811,0.0026292636510345246
EleutherAI/pythia-410m,6,3,0.005100039985236116,0.007111797182578705,0.00610591858390741,-0.022916609989034963,-0.022916609989034963,-0.016014024483106466,-0.00045477552889786337,-0.00045477552889786337,0.0018883696893466349,-0.0224618344601371,-0.0224618344601371,-0.017902394172453102
EleutherAI/pythia-410m,6,4,0.008216917984129157,0.008197934608759727,0.008207426296444442,0.20911266324745595,0.20911266324745595,0.19572133391606827,0.02357609649217874,0.02357609649217874,0.02623194070465087,0.18553656675527722,0.18553656675527722,0.1694893932114174
EleutherAI/pythia-410m,6,5,0.005870428610974532,0.0014278381828245479,0.00364913339689954,0.353450234063316,0.353450234063316,0.32204394844676,0.10264727904143142,0.10264727904143142,0.09009570381183905,0.25080295502188454,0.25080295502188454,0.23194824463492092
EleutherAI/pythia-410m,6,6,0.005526324895423151,0.000586321973425008,0.0030563234344240797,0.19900382561369148,0.19900382561369148,0.18758933046041776,0.1198258310656209,0.1198258310656209,0.10500865351243376,0.07917799454807058,0.07917799454807058,0.082580676947984
EleutherAI/pythia-410m,6,7,0.002311886764887028,0.006543497400959719,0.0044276920829233735,0.2598808113581336,0.2598808113581336,0.259548892028784,0.234035066124985,0.234035066124985,0.2282670909940064,0.025845745233148615,0.025845745233148615,0.031281801034777595
EleutherAI/pythia-410m,6,8,0.008666511595718518,0.009158397284079633,0.008912454439899076,0.30174501031475714,0.30174501031475714,0.3200295204763634,0.08870174932688388,0.08870174932688388,0.0805140853155999,0.21304326098787327,0.21304326098787327,0.2395154351607635
EleutherAI/pythia-410m,6,9,0.006294070266363416,-0.0031404269961861075,0.0015768216350886544,0.2537301758824102,0.2537301758824102,0.24594856252830627,0.09874168685124812,0.09874168685124812,0.08902497428638576,0.15498848903116208,0.15498848903116208,0.15692358824192051
EleutherAI/pythia-410m,6,10,0.006122499000368986,0.003966804564468518,0.005044651782418752,0.6909857033579817,0.6909857033579817,0.6819394749781916,0.17096730580353475,0.17096730580353475,0.15895670097803916,0.520018397554447,0.520018397554447,0.5229827740001525
EleutherAI/pythia-410m,6,11,0.0023152509073574024,0.01044398029958149,0.006379615603469446,0.19267250320032914,0.19267250320032914,0.20478193535680733,0.1342335614273304,0.1342335614273304,0.14437981605293382,0.05843894177299874,0.05843894177299874,0.060402119303873514
EleutherAI/pythia-410m,6,12,0.005708228884719446,0.0013759342704231514,0.003542081577571299,0.6626112830686781,0.6626112830686781,0.6751263899897292,0.19775912848250388,0.19775912848250388,0.1863544769428979,0.46485215458617424,0.46485215458617424,0.4887719130468313
