arm,layer,tanh_alpha
random,0,0.023450776934623718
random,0,0.01914164423942566
random,0,0.01928255893290043
random,0,0.02677381969988346
random,0,0.02218043990433216
random,0,0.024361805990338326
random,0,0.02788860723376274
random,0,0.0286577045917511
random,0,0.027471555396914482
random,0,0.024350838735699654
random,0,0.02761327289044857
random,0,0.022742316126823425
random,0,0.026246726512908936
random,0,0.034888751804828644
random,0,0.027069011703133583
random,0,0.020385073497891426
random,0,0.026209885254502296
random,0,0.025392824783921242
random,0,0.0318586602807045
random,0,0.028798116371035576
random,0,0.03197869658470154
random,0,0.02751150354743004
random,0,0.02686975710093975
random,0,0.02042367309331894
random,1,0.0176297165453434
random,1,0.02360319159924984
random,1,0.011095517314970493
random,1,0.018153786659240723
random,1,0.0276176817715168
random,1,0.020836718380451202
random,1,-0.004105699714273214
random,1,0.02110644429922104
random,1,0.024090878665447235
random,1,0.008465666323900223
random,1,0.009755237028002739
random,1,0.016041062772274017
random,1,0.01657474972307682
random,1,0.015463515184819698
random,1,0.001432119868695736
random,1,0.003051189938560128
random,1,0.015085008926689625
random,1,0.017260339111089706
random,1,0.013121262192726135
random,1,0.024801049381494522
random,1,0.010473394766449928
random,1,0.011335843242704868
random,1,0.002424421487376094
random,1,0.008219690062105656
random,1,0.018524447456002235
random,1,0.009826851077377796
random,1,0.013582552783191204
random,1,0.01647961139678955
random,1,0.0006458759889937937
random,1,0.013252658769488335
random,1,0.019665593281388283
random,1,0.014111455529928207
random,1,-0.005512502510100603
random,1,0.018597451969981194
random,1,0.017170356586575508
random,1,0.017773382365703583
random,1,0.026096010580658913
random,1,0.019856862723827362
random,1,0.026993218809366226
random,1,0.020610330626368523
random,1,0.007550023961812258
random,1,0.023322321474552155
random,1,0.01905192993581295
random,1,0.022516628727316856
random,1,0.013121319003403187
random,1,-0.005545368883758783
random,1,0.00889380369335413
random,1,0.020576275885105133
random,1,0.014677396975457668
random,1,0.02406592108309269
random,1,0.028992129489779472
random,1,0.0058896481059491634
random,1,0.006540627218782902
random,1,0.0043091801926493645
random,1,0.020255303010344505
random,1,0.017864523455500603
random,1,0.02170509099960327
random,1,0.0037008672952651978
random,1,0.021418370306491852
random,1,0.011090624146163464
random,1,-0.0010121023515239358
random,1,0.015593661926686764
random,1,0.016481490805745125
random,1,0.006466993596404791
random,2,-0.011553332209587097
random,2,0.009890759363770485
random,2,0.01930425874888897
random,2,0.00162162643391639
random,2,0.011583201587200165
random,2,0.0002555260434746742
random,2,0.006199959199875593
random,2,0.012979335151612759
random,2,0.013492358848452568
random,2,0.013934347778558731
random,2,0.0017909591551870108
random,2,0.0014501075493171811
random,2,0.01579137332737446
random,2,0.012996782548725605
random,2,0.006929957307875156
random,2,-0.0007995594060048461
random,2,0.00897764042019844
random,2,0.00239410693757236
random,2,0.0025998163037002087
random,2,0.006840282119810581
random,2,0.0066529083997011185
random,2,0.010926865972578526
random,2,0.011196266859769821
random,2,0.013389049097895622
random,2,0.005598688498139381
random,2,0.006091216579079628
random,2,0.014941612258553505
random,2,0.0077734109945595264
random,2,0.013531917706131935
random,2,0.008653403259813786
random,2,0.013178453780710697
random,2,0.016800232231616974
random,2,0.015450629405677319
random,2,-0.0002943379804491997
random,2,0.01011389959603548
random,2,0.008357497863471508
random,2,0.004141520708799362
random,2,0.014760238118469715
random,2,-0.0022023129276931286
random,2,0.0057079666294157505
random,2,0.012664886191487312
random,2,0.01321952510625124
random,2,0.005522232037037611
random,2,0.012404986657202244
random,2,0.005591141991317272
random,2,0.013105674646794796
random,2,-0.00810384564101696
random,2,0.013429181650280952
random,2,0.014262544922530651
random,2,-0.0003741623368114233
random,2,0.004384474828839302
random,2,0.009267527610063553
random,2,0.003998985979706049
random,2,0.014042393304407597
random,2,0.011491342447698116
random,2,0.018138105049729347
random,2,0.02321973443031311
random,2,0.009762308560311794
random,2,0.012061850167810917
random,2,0.010687386617064476
random,2,0.015495313331484795
random,2,0.005225671920925379
random,2,0.010248387232422829
random,2,0.010485377162694931
random,3,0.018904641270637512
random,3,0.016765350475907326
random,3,0.0019544686656445265
random,3,0.0017853566678240895
random,3,0.0072450353763997555
random,3,0.007222738116979599
random,3,0.009626293554902077
random,3,-0.004879944026470184
